date,quantity_sold
2012-11-20,30274
2012-11-21,35208
2012-11-22,21909
2012-11-23,23423
2012-11-24,30016
2012-11-25,32732
2012-11-26,26476
2012-11-27,24489
2012-11-28,23545
2012-11-29,23868
2012-11-30,30389
2012-12-01,42496
2012-12-02,40940
2012-12-03,35337
2012-12-04,28819
2012-12-05,31184
2012-12-06,31124
2012-12-07,33594
2012-12-08,41573
2012-12-09,42526
2012-12-10,31089
2012-12-11,30298
2012-12-12,30016
2012-12-13,28671
2012-12-14,32902
2012-12-15,42390
2012-12-16,40053
2012-12-17,31025
2012-12-18,30254
2012-12-19,31782
2012-12-20,30872
2012-12-21,32848
2012-12-22,40015
2012-12-23,38987
2012-12-24,32623
2012-12-25,11
2012-12-26,29701
2012-12-27,29086
2012-12-28,32347
2012-12-29,37154
2012-12-30,35699
2012-12-31,35036
2013-01-01,24087
2013-01-02,32184
2013-01-03,36241
2013-01-04,33742
2013-01-05,43287
2013-01-06,43994
2013-01-07,33517
2013-01-08,31220
2013-01-09,29532
2013-01-10,29793
2013-01-11,34476
2013-01-12,45878
2013-01-13,40207
2013-01-14,30614
2013-01-15,30901
2013-01-16,28802
2013-01-17,28370
2013-01-18,32812
2013-01-19,42267
2013-01-20,37041
2013-01-21,30887
2013-01-22,25556
2013-01-23,25594
2013-01-24,24967
2013-01-25,29852
2013-01-26,40693
2013-01-27,38427
2013-01-28,27796
2013-01-29,25549
2013-01-30,23523
2013-01-31,26751
2013-02-01,39076
2013-02-02,51032
2013-02-03,41558
2013-02-04,28992
2013-02-05,31633
2013-02-06,31937
2013-02-07,29699
2013-02-08,35546
2013-02-09,45852
2013-02-10,43910
2013-02-11,36617
2013-02-12,36141
2013-02-13,38551
2013-02-14,30209
2013-02-15,38260
2013-02-16,45157
2013-02-17,44653
2013-02-18,34638
2013-02-19,28248
2013-02-20,30201
2013-02-21,31408
2013-02-22,32563
2013-02-23,43031
2013-02-24,44142
2013-02-25,32020
2013-02-26,27328
2013-02-27,27884
2013-02-28,30374
2013-03-01,39451
2013-03-02,49772
2013-03-03,48247
2013-03-04,35817
2013-03-05,31236
2013-03-06,32028
2013-03-07,29770
2013-03-08,34292
2013-03-09,44889
2013-03-10,44108
2013-03-11,36438
2013-03-12,33792
2013-03-13,31808
2013-03-14,33167
2013-03-15,37501
2013-03-16,43652
2013-03-17,42570
2013-03-18,31365
2013-03-19,29012
2013-03-20,29456
2013-03-21,29642
2013-03-22,33168
2013-03-23,40620
2013-03-24,40633
2013-03-25,29667
2013-03-26,28632
2013-03-27,28258
2013-03-28,29654
2013-03-29,38067
2013-03-30,46410
2013-03-31,34448
2013-04-01,34522
2013-04-02,34642
2013-04-03,35594
2013-04-04,32174
2013-04-05,38056
2013-04-06,46821
2013-04-07,46444
2013-04-08,35017
2013-04-09,33750
2013-04-10,31441
2013-04-11,32692
2013-04-12,36082
2013-04-13,43645
2013-04-14,43990
2013-04-15,34102
2013-04-16,31039
2013-04-17,28815
2013-04-18,28474
2013-04-19,32829
2013-04-20,40857
2013-04-21,39931
2013-04-22,29951
2013-04-23,27059
2013-04-24,27607
2013-04-25,27476
2013-04-26,31206
2013-04-27,35329
2013-04-28,38902
2013-04-29,27445
2013-04-30,28144
2013-05-01,31358
2013-05-02,31741
2013-05-03,36950
2013-05-04,40812
2013-05-05,43203
2013-05-06,35368
2013-05-07,31673
2013-05-08,31346
2013-05-09,32938
2013-05-10,33497
2013-05-11,45385
2013-05-12,37390
2013-05-13,34609
2013-05-14,32885
2013-05-15,34611
2013-05-16,31937
2013-05-17,34682
2013-05-18,40830
2013-05-19,42673
2013-05-20,33646
2013-05-21,30286
2013-05-22,28935
2013-05-23,30902
2013-05-24,35081
2013-05-25,39143
2013-05-26,36049
2013-05-27,36277
2013-05-28,29298
2013-05-29,26967
2013-05-30,28125
2013-05-31,36086
2013-06-01,44808
2013-06-02,47502
2013-06-03,39245
2013-06-04,33809
2013-06-05,35911
2013-06-06,34166
2013-06-07,37602
2013-06-08,44647
2013-06-09,48164
2013-06-10,36769
2013-06-11,34625
2013-06-12,33942
2013-06-13,34188
2013-06-14,39767
2013-06-15,46309
2013-06-16,39690
2013-06-17,34118
2013-06-18,31177
2013-06-19,31070
2013-06-20,31771
2013-06-21,36703
2013-06-22,42276
2013-06-23,43275
2013-06-24,34118
2013-06-25,31603
2013-06-26,30356
2013-06-27,31457
2013-06-28,36753
2013-06-29,44949
2013-06-30,44823
2013-07-01,38716
2013-07-02,37242
2013-07-03,43999
2013-07-04,36783
2013-07-05,40807
2013-07-06,41832
2013-07-07,44624
2013-07-08,37460
2013-07-09,37253
2013-07-10,34579
2013-07-11,36361
2013-07-12,41279
2013-07-13,45185
2013-07-14,46672
2013-07-15,37624
2013-07-16,33937
2013-07-17,32467
2013-07-18,33921
2013-07-19,36194
2013-07-20,41527
2013-07-21,42039
2013-07-22,32203
2013-07-23,31304
2013-07-24,31468
2013-07-25,31816
2013-07-26,36843
2013-07-27,41672
2013-07-28,40480
2013-07-29,31763
2013-07-30,30162
2013-07-31,31255
2013-08-01,37309
2013-08-02,41663
2013-08-03,47105
2013-08-04,44439
2013-08-05,39149
2013-08-06,36694
2013-08-07,35079
2013-08-08,34886
2013-08-09,40699
2013-08-10,44912
2013-08-11,47520
2013-08-12,38753
2013-08-13,35144
2013-08-14,33732
2013-08-15,37643
2013-08-16,38025
2013-08-17,44431
2013-08-18,44894
2013-08-19,35237
2013-08-20,31625
2013-08-21,32633
2013-08-22,31793
2013-08-23,37113
2013-08-24,44836
2013-08-25,48577
2013-08-26,34200
2013-08-27,32963
2013-08-28,32456
2013-08-29,31710
2013-08-30,41621
2013-08-31,47972
2013-09-01,44741
2013-09-02,47072
2013-09-03,37799
2013-09-04,33328
2013-09-05,35425
2013-09-06,38684
2013-09-07,47600
2013-09-08,51740
2013-09-09,39765
2013-09-10,34663
2013-09-11,36195
2013-09-12,36767
2013-09-13,40971
2013-09-14,49166
2013-09-15,50970
2013-09-16,36775
2013-09-17,32571
2013-09-18,31281
2013-09-19,30823
2013-09-20,36281
2013-09-21,46001
2013-09-22,46210
2013-09-23,32784
2013-09-24,31064
2013-09-25,29959
2013-09-26,30648
2013-09-27,35502
2013-09-28,44441
2013-09-29,44396
2013-09-30,32893
2013-10-01,36730
2013-10-02,33900
2013-10-03,37215
2013-10-04,37334
2013-10-05,48777
2013-10-06,49888
2013-10-07,37003
2013-10-08,34544
2013-10-09,34746
2013-10-10,34019
2013-10-11,38093
2013-10-12,46581
2013-10-13,46343
2013-10-14,36836
2013-10-15,33213
2013-10-16,32677
2013-10-17,30538
2013-10-18,34337
2013-10-19,42043
2013-10-20,43352
2013-10-21,31859
2013-10-22,28957
2013-10-23,29525
2013-10-24,29260
2013-10-25,33877
2013-10-26,42454
2013-10-27,40665
2013-10-28,32058
2013-10-29,29529
2013-10-30,31136
2013-10-31,27034
2013-11-01,39727
2013-11-02,47093
2013-11-03,48373
2013-11-04,32972
2013-11-05,34087
2013-11-06,33030
2013-11-07,31953
2013-11-08,35460
2013-11-09,45717
2013-11-10,43905
2013-11-11,36396
2013-11-12,32275
2013-11-13,29255
2013-11-14,29468
2013-11-15,35775
2013-11-16,44587
2013-11-17,42589
2013-11-18,32110
2013-11-19,28522
2013-11-20,27915
2013-11-21,28699
2013-11-22,32863
2013-11-23,40047
2013-11-24,38446
2013-11-25,28645
2013-11-26,31293
2013-11-27,36139
2013-11-28,19839
2013-11-29,26073
2013-11-30,31546
2013-12-01,38187
2013-12-02,37087
2013-12-03,38024
2013-12-04,31519
2013-12-05,35151
2013-12-06,36899
2013-12-07,44450
2013-12-08,40424
2013-12-09,33653
2013-12-10,31422
2013-12-11,30911
2013-12-12,31669
2013-12-13,36163
2013-12-14,41528
2013-12-15,43097
2013-12-16,32474
2013-12-17,30338
2013-12-18,31692
2013-12-19,32411
2013-12-20,32123
2013-12-21,40474
2013-12-22,34915
2013-12-23,35289
2013-12-24,31077
2013-12-25,20
2013-12-26,32727
2013-12-27,33095
2013-12-28,36490
2013-12-29,34121
2013-12-30,32293
2013-12-31,34811
2014-01-01,23845
2014-01-02,32653
2014-01-03,38870
2014-01-04,44616
2014-01-05,45302
2014-01-06,32412
2014-01-07,30952
2014-01-08,32973
2014-01-09,33197
2014-01-10,32766
2014-01-11,47798
2014-01-12,46858
2014-01-13,33714
2014-01-14,30223
2014-01-15,31579
2014-01-16,31190
2014-01-17,35240
2014-01-18,43233
2014-01-19,40427
2014-01-20,32706
2014-01-21,27854
2014-01-22,28197
2014-01-23,26244
2014-01-24,30888
2014-01-25,40529
2014-01-26,40197
2014-01-27,30060
2014-01-28,24000
2014-01-29,24983
2014-01-30,27017
2014-01-31,36489
2014-02-01,45333
2014-02-02,43897
2014-02-03,37294
2014-02-04,30577
2014-02-05,31676
2014-02-06,32389
2014-02-07,34255
2014-02-08,47108
2014-02-09,48040
2014-02-10,33147
2014-02-11,33533
2014-02-12,36738
2014-02-13,37483
2014-02-14,33910
2014-02-15,44965
2014-02-16,43832
2014-02-17,34557
2014-02-18,30710
2014-02-19,30411
2014-02-20,29703
2014-02-21,33326
2014-02-22,41488
2014-02-23,44427
2014-02-24,31797
2014-02-25,29725
2014-02-26,26351
2014-02-27,28890
2014-02-28,34198
2014-03-01,45496
2014-03-02,46777
2014-03-03,37201
2014-03-04,30066
2014-03-05,31278
2014-03-06,32662
2014-03-07,34864
2014-03-08,43485
2014-03-09,50090
2014-03-10,37506
2014-03-11,34567
2014-03-12,34942
2014-03-13,33084
2014-03-14,36946
2014-03-15,44708
2014-03-16,45376
2014-03-17,32084
2014-03-18,30095
2014-03-19,29384
2014-03-20,28809
2014-03-21,33202
2014-03-22,41441
2014-03-23,44171
2014-03-24,31843
2014-03-25,28466
2014-03-26,27014
2014-03-27,30210
2014-03-28,32918
2014-03-29,41193
2014-03-30,43156
2014-03-31,30672
2014-04-01,33708
2014-04-02,33699
2014-04-03,36604
2014-04-04,35685
2014-04-05,46776
2014-04-06,48790
2014-04-07,36594
2014-04-08,35248
2014-04-09,35209
2014-04-10,33038
2014-04-11,38439
2014-04-12,46155
2014-04-13,46083
2014-04-14,35751
2014-04-15,36396
2014-04-16,34228
2014-04-17,33193
2014-04-18,38905
2014-04-19,47819
2014-04-20,38934
2014-04-21,31626
2014-04-22,30678
2014-04-23,30437
2014-04-24,30792
2014-04-25,33427
2014-04-26,42377
2014-04-27,43440
2014-04-28,31508
2014-04-29,29865
2014-04-30,28883
2014-05-01,33859
2014-05-02,38951
2014-05-03,46542
2014-05-04,45139
2014-05-05,35820
2014-05-06,33611
2014-05-07,32146
2014-05-08,31819
2014-05-09,36363
2014-05-10,42843
2014-05-11,38180
2014-05-12,37922
2014-05-13,33844
2014-05-14,32817
2014-05-15,33522
2014-05-16,34589
2014-05-17,40019
2014-05-18,43020
2014-05-19,32314
2014-05-20,29926
2014-05-21,29083
2014-05-22,30386
2014-05-23,33425
2014-05-24,38386
2014-05-25,35965
2014-05-26,33459
2014-05-27,28912
2014-05-28,28109
2014-05-29,27689
2014-05-30,33740
2014-05-31,40692
2014-06-01,44602
2014-06-02,37312
2014-06-03,38357
2014-06-04,32899
2014-06-05,35655
2014-06-06,37457
2014-06-07,44347
2014-06-08,45279
2014-06-09,38256
2014-06-10,33658
2014-06-11,34644
2014-06-12,35077
2014-06-13,38356
2014-06-14,44984
2014-06-15,42494
2014-06-16,35203
2014-06-17,33542
2014-06-18,32269
2014-06-19,33120
2014-06-20,37996
2014-06-21,42420
2014-06-22,42460
2014-06-23,33158
2014-06-24,30641
2014-06-25,28821
2014-06-26,29356
2014-06-27,34078
2014-06-28,39930
2014-06-29,40211
2014-06-30,33449
2014-07-01,37739
2014-07-02,37869
2014-07-03,47028
2014-07-04,38593
2014-07-05,40782
2014-07-06,45490
2014-07-07,37635
2014-07-08,36448
2014-07-09,37214
2014-07-10,35179
2014-07-11,40253
2014-07-12,47696
2014-07-13,43675
2014-07-14,36281
2014-07-15,35815
2014-07-16,33011
2014-07-17,32430
2014-07-18,36449
2014-07-19,42480
2014-07-20,42689
2014-07-21,33451
2014-07-22,31512
2014-07-23,30939
2014-07-24,30525
2014-07-25,33848
2014-07-26,39008
2014-07-27,42214
2014-07-28,32632
2014-07-29,30705
2014-07-30,30334
2014-07-31,31840
2014-08-01,43129
2014-08-02,47011
2014-08-03,47572
2014-08-04,35799
2014-08-05,36238
2014-08-06,34547
2014-08-07,34577
2014-08-08,38980
2014-08-09,45258
2014-08-10,43249
2014-08-11,36122
2014-08-12,36672
2014-08-13,34419
2014-08-14,34536
2014-08-15,38258
2014-08-16,44555
2014-08-17,46673
2014-08-18,35379
2014-08-19,31959
2014-08-20,31847
2014-08-21,32399
2014-08-22,37116
2014-08-23,44673
2014-08-24,47443
2014-08-25,34667
2014-08-26,31402
2014-08-27,29506
2014-08-28,29976
2014-08-29,37693
2014-08-30,43237
2014-08-31,39210
2014-09-01,43256
2014-09-02,34299
2014-09-03,37397
2014-09-04,31483
2014-09-05,35966
2014-09-06,46017
2014-09-07,45953
2014-09-08,35580
2014-09-09,34167
2014-09-10,31792
2014-09-11,34480
2014-09-12,38359
2014-09-13,47579
2014-09-14,45747
2014-09-15,36559
2014-09-16,31037
2014-09-17,29831
2014-09-18,28861
2014-09-19,34832
2014-09-20,43032
2014-09-21,44402
2014-09-22,31510
2014-09-23,29410
2014-09-24,29001
2014-09-25,29511
2014-09-26,33127
2014-09-27,40839
2014-09-28,42924
2014-09-29,31473
2014-09-30,29990
2014-10-01,34602
2014-10-02,34249
2014-10-03,41836
2014-10-04,47199
2014-10-05,48361
2014-10-06,37719
2014-10-07,33151
2014-10-08,33185
2014-10-09,33738
2014-10-10,35001
2014-10-11,44561
2014-10-12,46735
2014-10-13,33557
2014-10-14,32451
2014-10-15,34193
2014-10-16,29936
2014-10-17,33430
2014-10-18,43755
2014-10-19,43456
2014-10-20,32233
2014-10-21,29367
2014-10-22,27926
2014-10-23,28506
2014-10-24,32790
2014-10-25,40753
2014-10-26,40197
2014-10-27,31203
2014-10-28,28340
2014-10-29,27563
2014-10-30,30235
2014-10-31,32850
2014-11-01,44249
2014-11-02,46072
2014-11-03,38564
2014-11-04,31952
2014-11-05,30832
2014-11-06,33223
2014-11-07,34763
2014-11-08,44270
2014-11-09,47415
2014-11-10,34449
2014-11-11,32588
2014-11-12,30490
2014-11-13,28711
2014-11-14,34739
2014-11-15,44383
2014-11-16,43516
2014-11-17,31811
2014-11-18,28014
2014-11-19,28047
2014-11-20,28247
2014-11-21,32863
2014-11-22,42402
2014-11-23,40630
2014-11-24,31598
2014-11-25,31888
2014-11-26,36903
